barcode,ingredient_text
6111245591063,"No Eco 0801 000 010
Dalaa
Distribue par ES
Rue lbnou Al Moutaz, res. Le Joyau I
n1 etage, App. 2-Casablanca
Tel  212 522 327 200-Fax  212 522 327 205
Fabrique par: Jeesr Industries
Lot Al Baraka Rue Al Watassiyine
Zone Industrielle BERRECHID-MAROC
(212) 5 22 32 72 00ILG:
(212) 5 22 32 72 05:S
Tel 12121 5 223
Fax: (212) 5 22 32 72 05
Mouchoirs tres doux Jos
6111245 591063
SLA6
dalaa@novatis-group.com
E-mail: dalaa@novatis-group.com"
20095291,"Cocoa Mass, Sugar, Cocoa Butter, Emulsifier: Soya Lecithins, Vanilla Extract."
80176800,"Sugar, Palm oil, Hazelnuts, Skimmed milk powder, Low-fat cocoa, Emulsifier: Lecithins (SOY), Vanillin."
5053990156009,"Pommes de terre déshydratées, huiles végétales (tournesol, palme, mais) en proportion variable, farine de blé, farine de mais, farine de riz, maltodextrine, émulsifiant (E471), sel, colorant (norbixine de rocou)."
8410076801180,"whole grain oat flakes (60%),sugar, refined sunflower oil, honey (3%), salt, cane molasses, emulsifier (sunflower lecithin), gasifier (sodium acid carbonate),"
3251490332080,"Farine complète de blé 26,5%, farine de blé 26,1%, son de blé 19,9%, huile de colza, sucre de canne roux, pâte de figues 5,1%, arôme naturel de figue, arôme naturel, émulsifiant : lécithines de colza, poudres à lever (acide citrique, carbonates de potassium, carbonates de sodium)."
3046920028721,"Kakaomasse, fettarmes Kakaopulver, Kakaobutter . Kann Schalenfrüchte, Milch und Soja enthalten."
7613035040823,"Sucre, pâte de cacao (Afrique de l'Ouest, Amérique du Sud), beurre de cacao, émulsifiant (lécithine), arôme naturel de vanille de Madagascar. Cacao : 53% minimum. Peut contenir : LAIT, FRUITS A COQUE."
6111259342828,"Farine de blé, Sucre, Beurre 11%, Fins éclats de caramel (Sucre, Lait écrémé en poudre), Huiles végétales hydrogénée (Palme), Amidon, Œufs entier liquide pasteurisé, Lait écrémé en poudre, Sirop de sucre inverti, poudres à lever (Pyrophosphate acide de sodium, Bicarbonates de sodium, Bicarbonates d'ammonium), sel, émulsifiant (lécithines de soja), arôme (vanilline). *Contient: Blé (céréales contenant du gluten), œufs, soja et lait."
3256540000698,"Farine de _blé_ 43%, Levain 21% (Farine de _blé_ 11%, Eau, Sel), Sucre, _Œufs_ frais 11%, _Beurre_ pâtissier, Huile de colza, Levure, _Lait_ écrémé en poudre (Équivalent à 10% de lait écrémé reconstitué), Émulsifiant: mono et diglycérides d'acides gras, Sel, Protéines de _blé_, _Gluten_ de blé, Extrait de carotte, Agent de traitement de la farine : acide ascorbique, Protéines de _lait_"
3045140105502,"Sucre, Beurre de cacao, pâte de cacao, Lait écrémé en poudre, lactosérum en poudre (Lait), Beurre concentré, Émulsifiant (Lécithine de soja), Pâte de noisette, Arôme naturel"
3284230006408,"Farine de BLÉ*/** 54%, ŒUFS entiers*/** 14%, sucre de canne roux*, huile de tournesol*/** 8%, levain* (eau, farines de BLÉ*/** 2% et de SEIGLE*, levures), GLUTEN DE BLÉ*, sel, levure, arôme naturel de vanille* (contient alcool*), extrait de vanille*, levure désactivée. Traces éventuelles de lait, moutarde et soja. *Ingrédients issus de l'Agriculture Biologique. **Ingrédients issus du commerce équitable français."
6111259343344,
10614594,"Weizenmehl, Wasser, 3% Kartoffelflocken, Roggenmehl, Salz, Hefe, Säureregulator: Natriumacetate; Weizenmalzmehl, Alkohol. Kann Spuren von Soja, Milch, Senf und Sesam enthalten."
40896243,"Pâte de cacao¹, sucre de canne¹, beurre de cacao¹, émulsifiant : lécithines (_soja_)¹. ¹ingrédient issu de l'agriculture biologique."
20815394,"25% walnuts, 25% almonds, 25% sultanas raisins (24,9% sultanas raisins, sunflower oil), 25% cranberry preparation (15% cranberries, 9,8% sugar, sunflower oil),"
3046920029780,"cocoa mass, sugar, cocoa butter, emulsifier (soya lecithin), vanilla, may contain hazelnuts, almonds, milk,"
3587220002252,"Farine de blé 52%, sucre, beurre frais 10%, œufs entiers frais 8%, eau, crème fraîche 3%, sel, arômes naturels (alcool), levure, gluten de blé, eau de vie, émulsifiant (E471), protéines de lait, levure désactivée, béta carotène"
5053990101597,"Dehydrated potatoes, vegetable oils Conflower, corn), rice flour, wheat starch, corn flour, sour cream & onion flavour wheat starch, flavour enhancers (monosodium glutamate, disodium guanylate, disodium inosinate}, onion powder, maltodextrin, salt, dextrose, sunflower oil, sugar, sweet whey powder (milk), potato starch, modified maize starch, acids (citric acid, lactic acid, malic acid), sour cream powder (milk)*, natural and nature identical flavourings onion powder and sour cream yeast extract, glucose syrup, four), emulsifier (E471) colour (annatto). milk."
8410510012196,"Pâte de cacao, cacao en poudre dégraissé, beurre de cacao, sucre, lait en poudre, pâte de amandes et de noisettes, émulsifiants (lécithines (soja, tournesol)) et arôme."
5410126006957,"speculoos 58% (wheat flour, sugar, vegetable oils (palm oil, rapeseed oil), golden syrup, baking powder (sodium acid carbonate), soy flour, salt, cinnamon, rapeseed oil, sugar, emulsifier (soy lecithin), acidifier (citric acid)"
7622210601988,"Farine de BLÉ 36%, chocolat au LAIT 27 % [sucre, pâte de cacao, beurre de cacao, lactosérum en poudre (de LAIT), LAIT écrémé en poudre, graisses végétales (karité, palme en proportion variable), BEURRE concentré, émulsifiants (lécithines de SOJA, E476), lactose (de LAIT), arôme], huile de palme, farine complète de BLE 12 %, sucre, sirop de sucre, poudres à lever (carbonates de sodium, carbonates d'ammonium), sel, correcteur d'acidité (acide citrique).

Peut contenir : fruits à coque."
3041090063206,"Céréales 98,5 % (farine complète de blé 66,2 %, farine de seigle 12,1 %, farine de blé 10,1 %, farine de riz 3,2 %, farine de blé malté 2,1 %, farine de sarrasin 1,6 %, farine d'orge 1,6 %, semoule de blé 1,6 %), sucre, lactosérum en poudre (de lait), sel, huile de palme, germes de blé. Peut contenir soja, sésame."
80052760,"_MILK_ chocolate 31.5% (sugar, cocoa butter, cocoa mass, skimmed _MILK_ powder, concentrated _BUTTER_, emulsifier: lecithins (_SOYA_), vanillin), sugar, palm oil, _WHEAT_ flour, _HAZELNUTS_ (10.5%), skimmed _MILK_ powder, whole _MILK_ powder, chocolate (sugar, cocoa mass, cocoa butter, emulsifier: lecithins (_SOYA_), vanillin), fat-reduced cocoa, emulsifier: lecithins (_SOYA_), raising agents (sodium bicarbonate, ammonium bicarbonate), salt, vanillin."
5059697731860,"Cocoa Mass, Sugar, Cocoa Butter, Flavouring,"
5017764128104,"select potatoes, sunflower oil, sea salt. gluten-free."
5053990101573,"cartofi deshidratati, uleiuri vegetale (floarea soarelui), faina de grâu, făină de orez, făină de porumb, emulsificator (E471), maltodextrina, sare, colorant annatto norbixină"
3362600001106,"Farine de froment, sucre, sucre inverti, noix de coco, poudre de lait, lactosérum, sel, agents levants (bicarbonate d'ammonium, bicarbonate de sodium), arôme coco, graisse végétale."
3041090063114,"Céréales 98 % (farine de blé 97,5 %, farine de seigle 0,5 %), lait écrémé en poudre, sucre, sel, huile de palme, minéral (pyrophosphate ferique)."
3175681851856,"Farine de blé 60,1%, huile de colza, sucre de canne roux, pâte de raisins 6,9%, germe de blé 5,1%, amidon de blé, raisins secs 2,8%, fibres de blé, magnésium, émulsifiant : lécithines de colza, arôme naturel, poudres à lever (tartrates de potassium, carbonates de sodium), vitamines B1, B6, B9, D et E."
3229820794525,"Flocons d'avoine* 31%, farine de blé*, huile de colza*, sucre roux de canne*, pépites de chocolat noir* 9% (sucre de canne*, pâte de cacao*, beurre de cacao*), billes de riz* soufflé (farine de riz*, sel), fibres d'acacia*, poudres à lever :carbonates d'ammonium, carbonates de sodium, extrait de cacao*, cacao* maigre en poudre, jaune d'œuf* en poudre, sel marin, antioxydant: extraits de romarin*. Ingrédients biologiques."
3061990143365,"Céréales [farine de froment (33%), céréales complètes (15,1%) (farine complète de froment (15%), farine complète de seigle, farine complète d'orge)] - sucre - matières grasses végétales (palme, palmiste, colza) - cacao maigre (4,7%) - amidons (blé) - sirop de glucose - poudres à lever : carbonates d'ammonium et de sodium - sel - lait écrémé en poudre perméat de lactosérum en poudre (lait) - émulsifiant : lecithines de tournesol - arômes. Peut contenir des traces de fruits à coque."
5000168036755,"Flour (55%) (Wheat Flour, Calcium, Iron, Niacin, Thiamin), Vegetable Oil (Palm), Wholemeal Wheat Flour (16%), Sugar, Partially Inverted Sugar Syrup, Raising Agents (Sodium Bicarbonate, Malic Acid, Ammonium Bicarbonate), Salt. For allergens, including cereals containing gluten, see ingredients in bold. May also contain Milk. BY APPOINTMENT TO HER MAJESTY THE QUEEN BISCUIT MANUFACTURERS UNITED BISCUITS (UIO LIMITED, LONDON FOR SUITABLE FEGETARIAN V Suitable for Vegans 360a4"
3228857001231,"Farine de BLÉ 51,8%, eau, OEUFS frais 12,2%, sucre 11,5%, huile de colza 10,8%, sucre perlé 2,3% (sucre, graisse végétale : karité, arôme), gluten de BLÉ, arômes dont fleur d'oranger (contient alcool), extraits végétaux à pouvoir colorant (curcuma, paprika), levure, fibre de BLÉ, sel, farine d'ORGE maltée, extrait d'acérola. Peut contenir des traces de LAIT, GRAINES DE SÉSAME, FRUITS A COQUE et SOJA."
8410076610737,"Cacahuètes grillées (38,6%), protéine isolée de soja, oligofructose, sirop de glucose, huiles et graisses végétales (palme, karité, tournesol, colza), sucre, morceaux de chocolat (4%) (sucre, pâte de cacao, beurre de cacao, émulsifiant (lécithines (soja)), maltodextrine, beurre de cacahuètes (1,9%), cacao maigre en poudre, amidon de tapioca, fructose, lactose (lait), humectant (glycérol), émulsifiants (lécithines (soja)), sel de cuisine, arôme naturel (lait), stabilisant (carbonate de calcium). Allergènes: voir les ingrédients en gras. Peut contenir des fruits à coques. Sans gluten."
06153153,"Farine de riz*, farine de châtaigne* 25%, sel marin. *Produits issus de l'agriculture biologique"
5013665111610,"corn (99.8%), sea salt (0.2%).
May contain sesame."
5000159461122,"Milk Chocolate (sugar, cocoa butter, chocolate, skim milk, lactose, milkfat, soy lecithin), peanuts, corn syrup, sugar, palm oil, skim milk, lactose, salt, egg whites, artificial flavor."
7622201133337,"Farine de blé 34 %, pâte de figues 26 %, sucre, huile de palme, sirop de glucose-fructose, sirop de glucose, sirop de sucre partiellement inverti, sel, poudres à lever (carbonates de sodium, carbonates d'ammonium), correcteur d'acidité (acide citrique). Peut contenir lait."
8434165466333,"Harina de _trigo_, aceites vegetales (palma, girasol alto oleico), azúcar, jarabe de glucosa y fructosa, extracto de malta de _cebada_, sal, gasificantes (carbonatos de amonio y sodio), corrector de acidez (fosfato de calcio), levadura, agente de tratamiento de la harina (_metabisulfito_ sódico)."
5053990155354,"Pommes de terre déshydratées, huiles végétales (tournesol, maïs), farine de riz, amidon de BLÉ, farine de maïs, assaisonnement crème acidulée et oignon (amidon de BLÉ, exhausteurs de goût {glutamate monosodique, guanylate disodique, inosinate disodique}, oignon en poudre, maltodextrine, sel, dextrose, sucre, lactosérum doux en poudre {LAIT}, fécule de pomme de terre, amidon de maïs modifié, acidifiants {acide citrique, acide lactique, acide malique}, crème acidulée en poudre {LAIT}, arômes {LAIT}, extrait de levure, sirop de glucose, protéines de LAIT, farine de riz), émulsifiant (E471), maltodextrine, sel, colorant (rocou)."
6111259347021,"sugar, modified milk ingredients, cocoa butter, cocoa mass, whey powder, lactose, soy lecithin, polyglycerol polyricinoleate, natural flavor"
8410076601131,"Avoine complète (60%), sucre, huiles végétales (tournesol, colza en proportions variables), miel (3%), sel de cuisine, mélasse, émulsifiant (lécithines), poudre à lever (bicarbonate de sodium). Allergènes : voir les ingrédients en gras. Peut contenir du soja, du blé, de l'arachide (cacahuètes) et des fruits à coque."
6111242380219,
3175680011534,"Farine de blé 53,5%, sucre de canne roux, huile de colza, pépites de chocolat 8,4% (pâte de cacao¹, sucre, beurre de cacao¹, émulsifiant : lécithines (soja)), germe de blé 5,5%, farine de maïs, lait fermenté écrémé pasteurisé en poudre 2,6%, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), fibres d'avoine, magnésium, arôme naturel, sel de mer, émulsifiant : lécithines, amidon de blé, vitamines (E, B6, B9)"
4014400400007,"sugar, vegetable fat (palm, shea), hazelnuts, glucose syrup, skimmed milk powder, humectant sorbitol syrup (e420), cocoa mass, condensed skimmed milk, condensed whey, lactose, fat-reduced cocoa, cocoa butter, butterfat, cane sugar syrup, whey powder (from milk), emulsifier soy lecithin (e322), salt, flavouring,"
8410076601148,"Avoine complète (55%), sucre, huile de tournesol, pépites de chocolat noir (8%) (pâte de cacao, sucre, émulsifiant : lécithine de soja, arôme naturel de vanille), cacao maigre en poudre, miel, sel, mélasse, émulsifiant : lécithine de tournesol, poudre à lever: bicarbonate de sodium, arôme naturel,"
3175681105423,"Farine de blé 47%, édulcorant : maltitols, huile de colza, pépites de chocolat au maltitol 11,2% (édulcorant : maltitols, pâte de cacao, émulsifiant : lécithines de soja, cacao maigre en poudre, arôme naturel de vanille), fibre de blé, cacao maigre en poudre 4,2%, son d'avoine, sel de mer, émulsifiant : lécithines de tournesol, arôme naturel, poudres à lever (carbonates de sodium, carbonates d'ammonium), édulcorant : sucralose."
5059697710001,"Dried Whole _Milk_, Cocoa Mass, Cocoa Butter, Sugar."
16811207,"Céréales 59,7 % [céréales complètes 39,6 % (farine complète de blé 19,8 %, flocons d'avoine 10,6 %, farine complète d'orge 4,9 %, farine complète de seigle 3,3 %, farine complète d'épeautre (blé) 1 %), farine de blé 20,1 %1, sucre, huile de colza, pépites de chocolat 8,5 % [sucre, pâte de cacao, huiles végétales (palme et karité en proportions variables), dextrose, beurre de cacao, émulsifiant (lécithines de soja)], miel de fleurs 5 %, sirop de glucose-fructose, minéraux (carbonate de calcium, carbonate de magnésium, fer élémentaire), poudres à lever (carbonates de sodium, diphosphates, carbonates d'ammonium), sel, émulsifiants (lécithines de soja, E472e), arôme, lait écrémé en poudre"
3175680011442,"Farine de _blé_ 57,7%, sucre de canne roux, huile de colza, flocons de _soja_ 7%, germe de _blé_ 5,4%, oranges déshydratées 1,5%, magnésium, sucre, amidon de maïs, jus concentré de citron, émulsifiant : lécithines de colza, sel de mer, arôme naturel d'orange, calcium, poudres à lever : carbonates de sodium, vitamines (E, PP, B5, B6, B1, B9)."
5000168198491,"Farine (55%) (farine de blé, calcium, fer, niacine, thiamine), huile de palme, farine de blé complète (16%), sucre, poudres à lever (carbonates de sodium, acide malique, carbonates d'ammonium), sirop de sucre inverti, sel.

Peut aussi contenir du lait."
3229820021027,"Farine complète de blé* 76,8%, Sucre de canne* roux, Huile de colza*, Amidon de blé*, carbonates d'ammonium, Sel marin, Arôme naturel de vanille, extraits de romarin."
3046920010047,"Pâte de cacao, beurre de cacao, sucre, cacao maigre, beurre laitier concentré.

Peut contenir des noisettes, des amandes et d'autres fruits à coque, du lait, du soja."
5053990161669,"Patatas deshidratadas, aceite de girasol, harina de _trigo_, harina de maíz, harina de arroz, condimento a base de pimentón (azúcar, pimentón en polvo, potenciadores del sabor (glutamato de monosodio, guanilato disódico, inosinato disódico), dextrosa, levadura en polvo, cebolla en polvo, sal, caldo granulado (sal, proteína vegetal hidrolizada, aceite de girasol), aromas, ajo en polvo, colorante (extracto de pimentón), acidulante (ácido cítrico), suero de leche dulce en polvo (_leche_)), maltodextrina, emulgente (E471), sal, colorante (norbixina de annato)."
3228857001378,"Farine de BLÉ 52,5%, eau, OEUFS frais 9%, huile de colza, sucre 8,5%, arôme (contient alcool), fibres (BLÉ, AVOINE), gluten de BLÉ, levure, sel, extraits végétaux à pouvoir colorant (curcuma, paprika), extrait d'acérola. Peut contenir des traces de LAIT, SOJA, FRUITS A COQUE, GRAINES DE SÉSAME."
6111025120605,"Pâte de cacao, beurre et poudre de cacao, sucre, émulsifiant: lécithine de soja (E322), arôme vanille."
5013665115373,"Lentil Flour 76%, Rapeseed Oil, Beetroot, Balsamic Seasoning 7.2% (Sugar, Salt, Onion, Natural Flavour, Beetroot Red 8%, Garlic, Black Pepper, Balsamic Vinegar 0.7%), Green Peas 5.7%"
5053990167807,"Kartoffelpüreepulver, Sonnenblumenöl, Weizenmehl, Maismehl, Reismehl, Maltodextrin, Emulgator (E471), Salz, Farbstoff (Annatto Norbixin)."
3229820181950,"Farine De Blé 39%, Chocolat Au Lait 25% Sucre De Canne Roux Non Raffiné 10%, Beurre De Cacao, Lait Entier En Poudre, Pâte De Cacao, Sucre De Canne Roux Non Raffiné 16%, Farine Complète De Blé 15%, Huile De Tournesol Oléique, Arôme Naturel De Vanille, Lait Écrémé En Poudre, Sel De Mer Non Raffiné, Poudres À Lever : Carbonates Dammonium, Carbonates De Sodium Épaississant : Gomme Dacacia Antioxydant : Extrait De Romarin.
peut Contenir Des Traces De Soja, Dœufs, De Fruits À Coque, De Graines De Sésame Et De Moutarde."
5053990107339,PRINGLES ORIGINAL 40 g
8410376026962,"Copos de _avena_ 34%, harina integral de _trigo_  21%, chips de chocolate negro 15% (azúcar, pasta de cacao, dextrosa, manteca de cacao, emulgente (lecitina de _soja_)), aceite vegetal 14% (girasol alto oléico), azúcar, jarabe de glucosa y fructosa, gasificantes (carbonato ácido de sodio, carbonato ácido de amonio), sal."
6111032006718,milb 17 00 فلان کرآميل 33 يستهلك حتى: 21/04 15:24 رقم الإعتماد الصحی LPL;3.1.13 :ONSSA د المكونات: سکر، مسحوق الحليب بدون قشدة، مغطى بالكراميل، قشدة، مخثر )نشاء 20 20 و U0 مكالمة حرة 80غ 25 کراکینان(، نكهة، ملون طبيعي )با کاروتين(،مثبت )فوسفاط الصوديوم( م هن%1و2 6111032&quot;006718 الحاج قدور. مكناس - المغرب انتهاء الصلاحية - 30 يوم يحفظ في 5° على الأكثر. سنطرال دانون - طريق قلان كرامیل۔ تاريخ الإنتاج = تاریخ %3D
8410510012202,"مكونات / INGREDIENTES / INGRÉDIENTS Chocolate negro 85% cacao, Ingredientes: Pasta de cacao, cacao desgrasado en polvo, azúcar, manteca de cacao, leche en polvo, pasta de almendras y avellanas, emulgentes (lecitinas (soja, girasol)), y aroma, Cacao 85% mínimo, Puede contener trazas de otros frutos de cáscara, Conservar el producto en lugar fresco, seco y carente de olores,Temperatura óptima de conservación: 18°C, Chocolat noir 85% cacao, Ingrédients : Pâte de cacao, cacao en poudre dégraissé, sucre, beurre de cacao, lait en poudre, pâte de amandes et de noisettes, émulsifiants (lécithines (soja, toumeso!)) et arôme, Cacao 85% minimum, Peut contenir des traces d'autres fruits à coque, Conserver le produit dans endroit frais, sec et sans odeur,Température optimale de conservation: 18°C, شوكولاتة داكنة دارك % 85% كاكاو المكونات عجينة الكاكاو مسحوق الكاكاو الخالي من الدسم، زبدة الكاكاو، سكر، مسحوق الحليب عجينة اللوز و البندق مستحلبات لستين ( الصوجا، عباد الشمس)) نكهات, الكاكاو 85% الحد الأدنى في الشكولاتة, قد يحتوي على آثار فواكه جافة أخرى, يحفظ المنتج في مكان بارد وجاف وخالي من الروائح درجة حرارة التخزين المثلى: 18 درجة مئوية, Información nutricional / Information nutritionnelle / معلومات غذائية Por / Pour Por porción / % IR por 10g porción*/ 100g"
7622210995087,"Sucre, pâte de cacao, NOISETTES (24%), beurre de cacao, BEURRE concentré, émulsifiant (lécithines de SOJA), arôme naturel de vanille, LAIT écrémé en poudre."
80135876,"sugar, vegetable fat (palm), hazelnuts (13%), skimmed milk powder (8,7%), fat reduced cocoa powder (7,4%), emulsifier (lecithins (soy/sunflower flavouring (natural identical vanillini,"
8000500023976,"Изсушен кокос 25,5%, растителни мазнини (палма, ший), захар, БАДЕМ (8%), обезмаслено МЛЯКО на прах, СУРОВАТКА на прах, ПШЕНИЧНО брашно, Нишесте от тапиока, ароматизанти, емулгатор: лецитини (СОЯ); набухвател (натриев хидрогенкарбонат), сол."
5060088707685,"Dattes 59%, Raisins secs 15%, _Noix de cajou_ 14%, _Amandes_ 10%, Myrtilles Lyophilisées 1%, Arôme Naturel"
6111031005033,"Sucre, Huiles Végétales Non-Hydrogénées (Palme, Palmiste), Farine De Blé, Cacao Maigre en Poudre, Lactosérum En Poudre, Emulsifiant (Lécithine De Soja), Poudre A Lever (Bicarbonate De Sodium), Sel. CONTIENT LAIT, BLE (GLUTEN),SOJA"
3175681209282,"Farine de blé 64,4%, huile de colza, sirop de sucres issu de fruits, farine de maïs, semoule de pommes séchées 4,8% (amidon de blé), extrait de malt d'orge, fibre de blé, jus de pomme concentré 2,2%, poudre à lever: carbonates de potassium, arôme naturel de pomme avec autres arômes naturels, émulsifiant : lécithines, extrait de pomme 0,4%, acidifiant : acide malique, protéines de lait."
5000119117359,"Wheat (95%), Malted Barley Extract, Sugar, Salt, Niacin, Iron, Riboflavin, Thiamin, Folic Acid. Allergy Advice"
5060088700112,"Dates (38%), Peanuts (35%), Chicory fibre (10%), Peanut flour (8%), Hazelnuts (5%), Fat-reduced cocoa powder (3%)."
7622210476296,"Farine de _blé_ 67 %,sucre, huile de palme, sirop de glucose-fructose, _lait_ écrémé en poudre, _lactosérum_ en poudre (de _lait_), arôme fleur d'oranger, fibres de _blé_, sel, poudres à lever (carbonate acide de sodium, carbonate acide d'ammonium), émulsifiant (lécithine de _soja_), arômes, colorant (E150b)."
3178530410105,"Farine de blé 34%, huile de colza, sucre, oeufs 14%, stabilisant : glycérol, sirop de glucose, lait frais demi-écrémé pasteurisé 5%, poudres à lever: carbonates et citrates de sodium (blé), sel, arome.
Traces éventuelles de fruits à coque, soja."
3251490307002,"Farine de blé 58,5%, sucre de canne roux, pépites de chocolat 12,4% (pâte de cacao, sucre, beurre de cacao, émulsifiant: lécithines de sola), huile de colza, farine de lupin, dextrose d'origine végétale, riz, fibres d'avoine, arôme naturel, calcium, magnésium, sel de mer, avoine, protéines de lait, sirop de malt d'orge, amidon de blé, orge, vitamines B1, B5, B9, PP et E (lactose, protéines de lait), poudre à lever : carbonates d'ammonium."
5060042641406,"Pommes de terre, huiles végétales (tournesol, colza en proportion variable), sel de mer, vinaigre de cidre en poudre, vinaigre d'alcool en poudre, arôme naturel, vinaigre de malt d'ORGE en poudre, jus de pomme concentré en poudre.

Peut contenir du LAIT."
